"","Date","Beach","Attendance","Month","Year"
"294","07/02/2017","South beach",1950,"July","2017"
"295","07/02/2017","Wolfe's Pond",270,"July","2017"
"296","07/02/2017","Cedar Grove",540,"July","2017"
"297","07/03/2017","Orchard",101500,"July","2017"
"298","07/03/2017","Coney Island",705000,"July","2017"
"299","07/03/2017","Manhattan",25000,"July","2017"
"300","07/03/2017","Rockaway",260000,"July","2017"
"301","07/03/2017","Midland",17600,"July","2017"
"302","07/03/2017","South beach",18050,"July","2017"
"303","07/03/2017","Wolfe's Pond",3000,"July","2017"
"304","07/03/2017","Cedar Grove",690,"July","2017"
"305","07/04/2017","Orchard",5500,"July","2017"
"306","07/04/2017","Coney Island",8000,"July","2017"
"307","07/04/2017","Manhattan",950,"July","2017"
"308","07/04/2017","Rockaway",41000,"July","2017"
"309","07/04/2017","Midland",1450,"July","2017"
"310","07/04/2017","South beach",1850,"July","2017"
"311","07/04/2017","Wolfe's Pond",115,"July","2017"
"312","07/04/2017","Cedar Grove",NA,"July","2017"
"313","07/05/2017","Orchard",550,"July","2017"
"314","07/05/2017","Coney Island",9000,"July","2017"
"315","07/05/2017","Manhattan",800,"July","2017"
"316","07/05/2017","Rockaway",3000,"July","2017"
"317","07/05/2017","Midland",600,"July","2017"
"318","07/05/2017","South beach",800,"July","2017"
"319","07/05/2017","Wolfe's Pond",45,"July","2017"
"320","07/05/2017","Cedar Grove",30,"July","2017"
"321","07/06/2017","Orchard",280,"July","2017"
"322","07/06/2017","Coney Island",6500,"July","2017"
"323","07/06/2017","Manhattan",360,"July","2017"
"324","07/06/2017","Rockaway",4200,"July","2017"
"325","07/06/2017","Midland",650,"July","2017"
"326","07/06/2017","South beach",900,"July","2017"
"327","07/06/2017","Wolfe's Pond",85,"July","2017"
"328","07/06/2017","Cedar Grove",45,"July","2017"
"329","07/07/2017","Orchard",6550,"July","2017"
"330","07/07/2017","Coney Island",55000,"July","2017"
"331","07/07/2017","Manhattan",5100,"July","2017"
"332","07/07/2017","Rockaway",93500,"July","2017"
"333","07/07/2017","Midland",2700,"July","2017"
"334","07/07/2017","South beach",4350,"July","2017"
"335","07/07/2017","Wolfe's Pond",450,"July","2017"
"336","07/07/2017","Cedar Grove",280,"July","2017"
"337","07/08/2017","Orchard",103000,"July","2017"
"338","07/08/2017","Coney Island",125000,"July","2017"
"339","07/08/2017","Manhattan",7000,"July","2017"
"340","07/08/2017","Rockaway",209000,"July","2017"
"341","07/08/2017","Midland",21400,"July","2017"
"342","07/08/2017","South beach",31600,"July","2017"
"343","07/08/2017","Wolfe's Pond",1125,"July","2017"
"344","07/08/2017","Cedar Grove",600,"July","2017"
"345","07/09/2017","Orchard",2000,"July","2017"
"346","07/09/2017","Coney Island",23000,"July","2017"
"347","07/09/2017","Manhattan",2200,"July","2017"
"348","07/09/2017","Rockaway",18000,"July","2017"
"349","07/09/2017","Midland",2000,"July","2017"
"350","07/09/2017","South beach",2500,"July","2017"
"351","07/09/2017","Wolfe's Pond",90,"July","2017"
"352","07/09/2017","Cedar Grove",205,"July","2017"
"353","07/10/2017","Orchard",7900,"July","2017"
"354","07/10/2017","Coney Island",11000,"July","2017"
"355","07/10/2017","Manhattan",1000,"July","2017"
"356","07/10/2017","Rockaway",19500,"July","2017"
"357","07/10/2017","Midland",1300,"July","2017"
"358","07/10/2017","South beach",1600,"July","2017"
"359","07/10/2017","Wolfe's Pond",75,"July","2017"
"360","07/10/2017","Cedar Grove",75,"July","2017"
"361","07/11/2017","Orchard",1355,"July","2017"
"362","07/11/2017","Coney Island",8500,"July","2017"
"363","07/11/2017","Manhattan",1500,"July","2017"
